SK_ID_BUREAU,MONTHS_BALANCE,STATUS
6582442,-11,0
6670122,-62,C
5126148,-16,C
6304530,-20,C
5237508,-4,X
6842755,-2,C
6416254,-6,C
6643975,-38,C
5795014,-40,0
6531039,-4,C
5945466,-48,C
6437807,-32,X
6028378,-17,C
5536889,-55,X
6464155,-49,C
6255062,-33,X
5522437,-48,0
5100054,-51,0
6394607,-48,0
6299995,-50,X
6498274,-5,C
6639649,-30,C
6363534,-5,X
6687769,-53,X
6339733,-89,C
6230003,-34,0
5884674,-9,0
5882967,-79,0
6737976,-3,C
6169742,-20,0
6134251,-52,1
6375201,-3,0
5628945,-34,C
6586357,-13,C
6031577,-59,C
6374843,0,1
5876079,-25,C
5738436,-83,0
6664507,-48,0
6193219,-5,0
6623141,-7,X
5385189,-10,X
6776945,-51,X
6643181,-81,X
6602505,-16,X
6630283,-42,C
6088025,-85,X
6829693,-14,0
6095874,-9,X
6151040,0,C
5033876,-37,X
6010461,-57,C
6573716,-22,0
6327189,-27,1
6247924,-2,X
6615230,-13,X
6109262,-38,X
5345097,-36,C
6078748,-6,C
6299774,-5,C
6280960,-36,C
6308990,-49,X
6217588,-26,C
6558672,-36,0
6177241,-11,C
6218995,-21,C
6593840,-24,C
6404447,-67,C
6026912,-82,C
6631500,-9,X
6090295,-7,0
6358158,-2,C
6258726,-7,X
6297017,-75,C
6404091,-48,X
6609713,-41,C
5632513,-23,X
5145695,-3,0
6134612,-44,C
6518595,-3,C
6176043,-4,C
6020625,-5,C
5932053,-22,X
5901295,-26,X
5099994,-3,C
6837824,-60,0
5817816,-19,0
6486092,-47,X
6690150,-5,0
6161191,-46,0
5633597,-66,C
5339656,-94,0
5536628,-18,X
6120874,-28,C
6140965,-18,C
6152561,-39,C
6356863,-49,C
6834935,-17,C
5297846,-1,0
5868046,-9,C
5796715,-53,0
5121822,-13,0
6363870,-6,C
6754694,-9,X
5618007,-27,X
5120018,-51,C
5445051,-3,C
6232673,-5,X
6748072,-10,C
6092067,-44,X
6395439,-11,0
6546388,-51,C
5903492,-11,C
6387921,-49,0
6292632,-1,C
5853713,-14,C
5946515,-35,C
5958872,-37,X
6590939,-7,C
5197411,-22,C
6242791,-72,X
5004926,-71,X
5017130,-64,C
6293463,-70,X
6193603,-88,C
5541764,-61,C
5535713,-27,C
6665157,-23,C
6086953,-34,1
6022615,-1,0
6500815,-83,0
6192234,0,C
5298494,-52,C
5022877,-2,0
5025225,-32,C
5298683,-19,C
5996626,-5,C
5864219,-19,C
6651070,-11,C
5562625,-19,C
6368591,-90,X
6183543,-33,C
5542224,-22,X
6087255,-3,C
6212663,-44,0
6744088,-37,0
5915876,-77,C
5969580,-24,0
5872762,-10,C
6270347,-8,X
6723472,-2,C
6548567,-9,0
5795057,-22,C
6360765,-48,C
5427767,-12,X
6593633,-49,X
5742392,-77,C
6452788,-36,C
5558981,-79,0
6747987,-7,C
6296691,-35,C
5816897,-72,C
6773029,-93,X
5113286,-3,X
5205695,-34,C
6567884,-47,X
5474452,-12,X
6570612,-3,C
6158807,-3,0
5839056,-10,X
6325073,-3,C
6736433,-9,C
6005356,-5,C
5845372,-10,C
5182936,-1,0
5617651,-10,C
5406285,-29,0
5993705,-19,C
5427136,-78,X
5958648,-82,X
5626713,-23,C
6262369,-5,0
6208391,-22,C
5769260,-63,X
6574463,-11,C
6691962,-6,0
6160927,-27,C
5628891,-36,C
6759121,-37,C
6574359,-13,C
5937729,-26,0
6827092,-6,C
5735353,-31,0
6151623,-44,0
5853077,-12,X
6546529,-7,C
5720601,-23,C
6387945,-21,C
5965004,-92,X
6685500,-53,0
6809849,-43,0
6388535,-47,0
5004540,-20,C
5197984,-38,C
5761799,-58,C
5959830,-88,C
5372801,-28,0
6097027,-50,C
6753502,-3,1
5824641,-40,0
5024368,-61,C
6202390,-4,0
6776463,-3,C
6322059,-34,C
5566854,-33,0
6452516,-39,C
6692631,-4,0
5535948,0,C
5189818,-13,X
6660856,-7,0
5541810,-44,X
6603226,-7,0
6837428,-35,C
5784941,-2,C
6097321,-22,C
6392404,-46,0
5667919,-1,C
6797580,-29,0
6772362,-96,0
6134707,-3,C
6781674,-7,C
6692499,-6,0
6724203,-57,0
6061525,-28,C
5659385,-21,C
5467891,-39,X
6308475,-48,0
6363085,-9,C
5067158,-1,C
6138817,-30,0
6066420,0,C
6743782,-50,X
6211918,-89,C
6509125,-12,C
6000619,-22,C
6836774,-78,X
6646141,-35,C
6816250,-40,C
6820811,-3,C
6448305,-1,0
6137277,-29,C
6775426,-27,C
5863959,-14,0
5929573,-55,C
6400107,-30,X
5901260,-65,0
6373066,-26,0
6583710,-34,C
6810889,-55,C
6327239,-6,C
6766951,-37,C
5503558,-15,C
6780421,-47,C
5736856,-63,C
6024016,-19,C
6499639,-5,C
5117292,-48,0
5069014,-55,C
6546393,-64,C
6249242,-32,0
5814302,-49,0
6481391,-15,C
5352594,-34,C
5090685,-20,0
5954563,-8,C
5360641,-13,C
5515200,-15,C
6707016,-23,X
6743148,-58,0
6407506,-42,X
6431980,-88,X
6476914,-33,C
5005180,-57,0
6689873,-15,X
6685184,-89,0
6211457,-17,C
6477417,-60,0
6109552,-9,C
5336950,-20,C
6060282,-51,C
5054600,-34,X
6212570,-29,0
6177712,-25,C
6836690,-10,C
6263667,-38,C
5829825,-8,C
5839052,-3,X
6479206,-1,C
5925713,-82,X
6647075,-70,0
6141266,-23,C
6792539,-74,C
5876899,-29,0
5400560,-44,0
6342546,-6,C
6163524,-48,0
6465816,-31,C
5290049,-54,0
5515293,-50,0
5897156,-6,C
6659176,-29,0
5005468,-41,C
6689374,-26,X
6065371,-35,0
5112875,-67,0
5936505,-5,C
5804615,-66,C
5833639,-26,C
5535554,-19,0
5761246,0,C
6492321,-70,C
5692365,-8,0
6793638,-23,0
5679991,-65,C
5743415,-69,0
6161835,-61,X
6177879,-11,0
5822852,-18,C
5046445,-28,0
5987556,-5,C
6357053,-23,X
6840224,-7,C
6451668,-27,C
6019479,-19,C
6635655,-28,0
6018585,-44,C
6477759,-49,C
6711368,-14,C
6022699,-11,X
6096722,-26,C
5702173,-30,C
6476981,-24,C
5625023,-66,C
6217800,-58,C
5761435,-58,C
5790801,-24,0
6209691,-35,0
5212758,-19,C
6193095,-41,C
5923187,-11,C
6645645,-54,C
5615591,-13,C
5602652,-61,X
5267756,-47,C
5198247,-15,C
5771846,-37,0
6469897,-75,0
5765527,-29,C
6000329,-1,0
6576266,-19,C
6605890,-24,C
5408777,-57,0
5384238,-79,X
5492680,-63,C
6432084,-57,C
6059353,-34,C
5022520,-44,C
5960280,-3,0
6437462,-17,C
6086666,-35,C
6472906,-46,C
6339383,0,C
6518812,-25,C
6130812,-17,C
6737957,-7,C
6339076,0,C
5050507,-3,1
6301971,-63,C
6122824,-13,C
6191785,-44,C
6591798,-11,C
6050337,-24,C
6272920,-26,X
6776840,-33,0
5208376,-19,C
6215181,-23,C
5812769,-11,C
6619041,-21,C
5208153,-84,0
5046552,-12,C
6602285,0,C
5298283,-58,C
5478361,-6,C
5041740,-10,C
5289860,-27,C
6697474,-7,C
6279178,-30,C
6221114,-15,0
5360705,-2,C
5739246,-9,C
6582356,-45,X
5567634,-31,X
6143901,-2,C
6021933,-39,C
6342858,-5,C
6363681,-3,C
6734559,-16,C
6208784,-2,C
6099695,-66,C
6368500,-70,X
5796588,-82,X
6007289,-3,0
5509209,-62,C
6668491,-9,X
5213271,-47,0
5526537,-65,0
5022787,-18,0
5336850,-77,X
5905761,-27,0
6270224,-82,0
6447491,-20,C
5947154,-79,X
6828339,-8,X
6367358,-77,C
6775829,-29,C
5807305,-81,C
5971750,-4,0
6461051,-38,X
5678623,-4,X
5641605,-44,C
6024722,-64,C
5036568,-19,C
5999264,-5,0
5883924,-7,C
6399962,-1,C
6708688,-4,0
5499415,-75,0
5702212,-36,C
6399385,-11,C
6129925,-15,C
6276609,-80,C
5814344,-16,C
5671517,-57,C
6047343,-3,X
6447994,-33,0
6578062,-38,X
5017108,-42,C
6363470,-59,X
5645540,-42,X
5897625,-18,C
5853763,-36,C
5853432,-26,X
6810892,-6,C
6591096,-11,C
6458096,-12,C
5053318,-40,C
5999000,-1,C
6066219,-6,C
6558792,-40,X
5476445,-13,C
6300019,-23,X
6566993,-65,C
5036869,-34,X
6246025,-42,C
6292135,-39,C
5904092,-83,X
6519240,-21,X
5228778,-18,X
6395826,-21,C
6281032,-81,C
6322010,-25,0
5936221,0,0
6827512,-50,C
6333640,-37,C
6204797,-45,0
5825499,-87,0
6035955,-1,X
6523497,-22,C
6137956,0,C
6594854,-19,C
6231546,-64,C
6303235,-31,0
5815279,-58,C
6779687,-32,X
6477350,-29,0
6250154,-16,C
6116241,-47,C
5726327,-15,C
6216128,-39,C
5231863,-16,C
5729826,-10,0
5742531,-43,X
6365237,-55,0
6241105,-7,0
5465964,-51,X
5816638,-17,C
5116193,-13,0
5853287,-84,X
5902291,-6,0
6230724,-8,C
6147181,-47,0
5180763,-40,0
6421450,-28,X
6591002,-11,X
6464893,-41,C
5818889,-2,C
6061588,-4,C
5645152,-81,5
6805471,-24,0
6186758,0,X
5085761,-6,0
6209207,-38,0
6527665,-4,C
5099739,-25,C
6786484,-27,0
6643244,-14,X
5936653,-8,C
6233213,-39,C
6104798,-21,0
6284114,-9,C
5866009,-56,X
5298621,-82,0
6670484,-76,0
6586825,-2,C
6708201,-2,X
6356205,-86,0
6254171,-55,X
6735025,-23,C
5467807,-30,C
6060608,-35,C
6004891,-12,C
6258947,-26,C
5760852,-6,C
6431983,-25,C
5196889,-34,0
6119113,-68,C
5922590,-1,C
6567549,-88,X
6699608,-46,C
5522229,-11,X
6407763,-20,C
6466297,-1,0
6263593,-51,C
6205276,-73,X
5146251,-4,C
6206706,-74,0
5761268,-70,0
5901222,0,0
6026320,-6,0
6054291,-51,0
6176210,-70,X
6520852,-43,C
5796886,-51,X
5619231,-6,X
6326627,-10,0
6229826,-18,C
5761131,-4,X
5936257,-28,X
6367377,-20,C
6704410,-38,X
6184292,-26,C
5843559,-40,X
6159700,-10,X
6056998,-15,0
6407083,-4,C
5028912,-6,X
5789353,-60,0
5548726,-6,C
6359943,-28,C
5879405,-16,C
6698062,-38,C
5454270,-35,C
6364419,-26,C
5567726,-1,0
5628920,-48,0
6080044,-11,0
6346478,-12,X
6781464,-10,C
5829403,-46,C
5243528,-16,C
6772006,-21,0
6219119,-6,0
5987454,-18,0
6060748,-54,C
6765441,-40,C
5774390,-9,X
5760762,-19,C
6369838,-66,X
5625358,-50,0
5844657,-61,0
6215847,-9,C
6746939,-14,0
6651408,-74,0
5474867,-93,X
6282799,-19,0
5163232,-77,X
6031358,0,C
5932271,-48,C
6575198,-50,C
6112285,-35,0
6777445,-27,C
6375139,-39,X
6576612,-60,C
5563588,-23,C
6434971,-26,0
5154847,-42,X
6539874,-19,0
6024808,0,X
5028638,-3,0
5719099,-17,C
5403513,-13,0
6177526,-80,X
6250447,0,C
6564872,0,C
5949140,-26,0
6009603,-43,C
6078298,-18,C
6548480,-15,0
6767015,-18,C
6651078,-16,C
5825717,-95,X
6780680,-19,0
5823533,-4,0
6359729,-23,X
6103183,-48,C
6243680,-12,C
5890796,-3,C
6214801,-24,X
5012668,-21,0
6014768,-21,C
6298807,-26,C
6343702,-7,X
5579259,-10,X
5805218,-70,C
5823871,-30,0
6788988,-8,C
6065519,-8,0
5718703,-7,C
5290741,-38,C
5821239,-28,C
6125246,-74,0
6394534,-50,X
5010184,-22,C
5563207,-44,C
6085736,-25,C
6654264,-16,C
6634794,-34,C
6249475,-14,0
6370432,-8,C
5743840,-33,C
5796206,-2,0
5444776,-17,C
6520714,-46,X
5499949,-47,0
5951659,-8,C
6458470,-14,X
6719643,-40,0
6738673,-33,C
5953572,-11,X
5823562,-74,C
6251398,0,C
5785258,-30,X
5298429,-2,C
6612493,-5,0
6708986,-9,X
6038396,-9,3
5938376,-71,C
6286463,-3,C
5537805,-41,0
6304243,-52,C
5169362,-23,0
5561475,-54,0
6303844,-10,X
5775471,-22,0
6010236,-63,C
5795170,-78,0
5994065,-17,0
6205415,-39,C
5805164,-3,0
6053693,-27,C
6587196,-36,X
6063950,-29,0
5905826,-5,X
6286103,-54,C
5054489,-8,0
6209259,-46,C
5125941,-46,0
6374290,-22,C
6818166,-6,C
6468775,-71,0
6332764,-52,C
5834549,-26,0
6766128,-63,0
6097449,-43,0
6611472,-8,0
6092377,-70,0
5928907,-19,X
5355412,-28,C
6668764,-36,C
6466878,-36,C
5797121,-68,C
6781826,-3,0
5968707,-94,C
6474448,-12,X
5021788,-24,0
5857964,-37,0
5230408,-92,X
6623071,0,X
5984736,-21,C
6363812,-16,C
5858487,-53,C
6213296,-45,X
6221532,-52,C
6410102,-25,C
5089797,-6,0
5968999,-56,C
5877305,-15,0
6652515,-74,C
6571772,-30,0
5142507,-4,0
6211827,-4,C
6432569,-44,0
6664441,-14,0
6691773,-14,X
6023706,-1,C
6549401,-12,C
6356092,-37,C
6779483,-77,0
6736883,0,X
6060184,-30,0
6264113,-19,C
5815025,-76,C
6030846,-70,0
6172722,-94,C
6611585,-38,C
6292700,-29,0
6732622,0,C
6208973,-54,0
6264248,-63,C
5952325,-12,C
6365195,-10,0
6005242,-85,X
5197025,-3,C
6125013,-26,0
6732475,0,X
6094329,-3,0
6001384,-40,C
5929708,-50,C
6581890,-25,0
5536942,-23,C
6153813,-43,C
5100179,-77,X
6051284,-28,X
6634190,-1,X
6631924,-10,0
5808129,-10,C
5646334,-6,C
6187262,-15,C
6191727,-15,X
5819207,-4,X
5844064,-2,C
6325400,-7,X
6781441,-53,C
6026336,-10,C
6206569,-5,C
5775652,-43,C
6687934,-96,0
6603082,-19,C
5752719,-45,0
6151370,-4,X
6169337,-74,X
6190623,-86,X
6578099,-89,0
6273431,-86,C
5898286,-16,C
5405480,-3,C
6611129,-53,C
6014766,-94,X
6635322,-26,C
5892643,-16,0
6728395,-62,X
5842686,-2,0
6202879,-10,C
5884124,-58,0
6685312,-6,X
5936203,-35,C
6210397,-12,C
6608028,-50,0
5317506,-48,X
6611930,-42,C
5868331,-19,0
6207352,-38,C
5067516,-9,0
5500657,-33,C
5041687,-58,C
5143254,-19,C
6202020,-42,C
6321492,-71,X
5332008,-10,C
5709641,-68,0
6269362,-92,X
5971335,-12,C
6360705,-19,C
6029845,-7,C
6242663,-70,X
6688504,-64,X
6733541,-35,C
6614705,-18,C
5004575,-26,C
5819815,-47,0
5928485,-58,1
6302754,-2,C
6034888,-8,X
6775318,-9,C
6159845,-2,0
5976991,-32,0
5668643,-62,C
6264111,-37,C
6186284,-9,C
6031452,-11,C
6047629,-52,C
6732347,-16,C
6742481,-2,C
6209094,-42,C
6047680,-74,0
6025358,-19,C
5536716,-14,C
6015708,-19,0
6372438,-4,C
6391763,-44,C
6576267,-46,C
5629259,-42,X
5061790,0,C
5296391,-42,X
5307436,-32,C
5637007,-39,C
5126838,-58,X
5832646,-8,C
5126759,-21,C
6064401,-1,C
5018075,-60,0
6206924,-5,0
5002004,-16,C
6652376,-11,0
6228751,-63,C
6430178,-17,X
5984046,-52,C
5890772,-16,C
5952884,-20,X
5452351,-45,0
5772139,-27,C
6158691,-56,C
6574553,-26,X
5045891,-39,C
5898502,-14,C
6571495,-2,0
5555181,-28,X
6190924,-19,C
6140610,-8,C
5469104,-11,0
6088970,-13,0
6218929,-20,0
5648979,-7,C
6810155,-32,X
6007090,-38,0
6249769,-6,C
6395544,-12,C
6066740,-5,C
5761967,-18,C
5011970,-26,C
5735586,-27,0
6231253,-28,0
6708850,-31,0
6437994,-4,X
6484110,-75,X
5945426,-12,1
6249052,-81,X
5918139,-69,C
6492339,-5,X
5415189,-61,C
6085364,-4,0
5730704,-36,C
5149459,-21,C
6111080,-9,X
5537210,-66,X
5355063,-8,C
5891047,-95,0
5278923,-14,C
5296190,-54,0
5772303,0,X
6052777,-25,X
5958615,-26,C
5121648,-56,C
6233102,-24,C
5668132,-12,C
6032253,-19,C
6094471,-14,C
6407218,-30,0
6659286,-19,C
6576779,-35,C
6433275,-19,0
6027000,-34,X
6028714,-5,C
6111659,-35,C
5775268,-2,X
5888543,-1,C
5818521,-32,C
6419999,-20,C
5984675,-41,0
6604127,-32,0
6089489,-8,X
6530770,-12,X
6108851,-2,C
6170172,-14,C
5541134,-60,C
6432869,-8,C
6521092,-65,C
6719701,-15,C
6055751,-1,0
6000813,-56,X
6189649,-90,C
6366166,-22,C
6015731,-86,C
6448263,-37,0
6737120,-51,X
5243589,-75,0
5096998,-73,X
5365125,-22,0
6318108,-55,C
5834246,-9,0
6357934,-21,C
6636743,-56,C
6089713,-10,0
6138646,-20,0
5805294,-15,C
6239423,-72,0
6465677,-64,C
5632278,-60,C
6229522,-29,0
6023427,-16,C
6070640,-2,X
5678873,-45,X
5853189,-9,0
5185653,-39,X
5626495,-69,0
6437875,-45,C
6296640,-10,C
5183045,-27,0
5736137,-28,X
5959823,-13,C
6726919,-17,C
5874679,-85,X
6218529,-2,X
5243824,-58,C
5469413,-7,C
5933475,-49,X
6014851,-82,0
6299290,-77,C
5874568,-4,C
6691390,-19,X
6358753,-14,0
6048437,-20,X
5906271,-84,X
5645538,-44,0
6001750,-35,C
5552316,-51,C
6730954,-11,C
5036907,-7,C
5841031,-33,X
5890511,-60,0
5790900,-19,C
6001053,-13,X
5243140,-7,C
6218673,-14,C
6217763,-67,1
6176154,-17,C
6544038,-33,C
6485813,-12,C
5053981,-27,C
6692606,-11,C
6230965,-10,C
5229533,-33,0
5444783,-12,C
5360777,-93,C
6270718,-26,0
6529427,-12,0
6053802,-28,0
6099322,-7,C
5016989,0,C
6430446,-48,0
6280408,-75,0
5823004,-4,C
6835493,-7,X
6232316,-43,C
5949016,-11,0
5995819,-31,C
6223098,-10,C
5858688,-88,0
5642225,-90,0
5867700,-45,C
6826989,0,0
6192795,-76,0
6232228,-1,C
6259303,-25,C
6099695,-9,C
6801688,-25,C
6726662,-28,X
5952522,-64,C
6560093,-30,C
6437489,-15,X
6458281,-32,C
6668558,-29,C
6432440,-58,C
6263477,-28,X
5960043,-47,C
5864100,-31,X
6805012,-32,C
5626140,-38,0
6574762,-16,C
6638104,-3,0
6539442,-53,0
5022371,-51,0
5243300,-61,C
6568186,-63,C
5125793,-49,C
6368927,-20,1
6016077,-69,C
6465244,-13,C
6022454,-25,X
5982073,-24,C
6528107,-9,C
6129914,-36,C
6137183,-62,C
5400919,-13,0
6765939,-32,C
6807304,-9,0
5533563,-16,X
6479588,-42,0
6368182,-29,X
6117087,-1,X
5708897,-3,0
5970876,-75,C
6121777,-33,X
6038258,-8,0
6312290,-17,C
6828644,-8,C
5565483,-68,0
6640058,-17,X
5795845,-14,0
6009590,-77,X
6428616,-15,X
6524509,-8,0
6130810,-14,0
6345989,-60,0
6479498,-5,C
5314846,-85,C
5336749,-48,C
5177439,-11,C
5884894,-85,0
6395406,-29,0
5514750,-8,C
6536618,-4,C
5243708,-95,0
6191213,-2,C
6364615,-20,C
5658908,-24,C
5618752,-41,C
6416189,-22,0
5944652,-36,0
5633086,-52,X
5864209,-64,C
5336681,-80,0
5143438,-15,C
6115666,-83,C
6606010,-17,C
6028531,-24,C
6024365,-72,0
5009502,-25,0
5883356,-38,C
6480131,-5,C
5350067,-43,C
6830381,-16,C
6248248,-7,C
6566540,-33,C
5884361,-19,C
5812830,-17,C
5994270,-53,X
6842824,-33,C
6234272,-88,C
6736574,-26,C
6308100,-17,C
6357168,-17,C
5068358,-20,C
5492810,-11,C
5903706,-7,C
5177701,-81,0
6566504,-12,X
6317530,-16,C
6055956,-10,X
5682148,-57,C
6670454,-1,C
5738684,-94,X
6333634,-22,C
6765416,-95,0
6669551,-17,C
5959663,-21,C
6051257,-11,0
6549096,-37,X
6029288,-8,X
6637988,-38,0
6155031,-19,C
6217429,0,C
6008504,-9,C
6602816,-10,C
5567375,-9,0
6805331,-34,C
5798337,-14,C
5884540,-83,0
5965488,-62,C
6575834,-50,C
6021223,-9,C
5991975,-12,C
6466563,-76,0
5743540,-20,X
5765596,-3,0
5627314,-35,C
6269767,-70,X
5262828,-35,C
5439913,-35,C
5983882,-13,0
6563724,-3,C
6119997,-8,C
5703624,-47,C
5903744,-10,C
6013517,-88,C
5670754,-86,X
6160734,-3,C
5021751,-71,X
6630615,-25,X
6734729,-64,X
5609808,0,C
5970240,-18,0
6154560,-35,0
6369908,-39,C
6089692,-76,C
6715284,-67,C
6831044,-40,X
5562388,-24,C
6492378,-23,C
6326757,-37,C
5513450,-20,X
6670230,-46,0
6829646,-51,X
5427468,-13,C
6509050,-26,C
6058225,-23,C
6291619,-7,C
6220814,-3,0
5236400,-12,0
6007819,-5,C
6190035,-13,0
5471371,-7,X
6640059,-22,X
6343362,-34,C
5555008,-4,C
6078726,-64,C
6468230,-36,C
6817916,-2,X
5994517,-8,0
6069096,-48,C
6780018,-77,C
6637049,-34,C
6564708,-63,C
6609655,-48,1
6015928,-29,C
6434763,-34,C
6155325,-33,C
5949552,-52,X
6321539,-40,C
6590713,-14,X
5002731,-19,0
6725038,-7,C
6273594,-35,0
6583675,-34,C
5836763,-33,0
5872443,-40,0
5946482,-35,X
5812305,-50,0
6095580,-14,C
5785317,-56,X
5262373,-2,C
6734445,-23,C
6122072,-77,0
6709182,-21,C
6151474,-35,X
5513423,-39,C
5091754,-93,X
6299183,-81,X
6362511,-22,0
5002834,-36,0
6309445,-16,0
5066771,-52,0
5336714,-79,C
5047873,-35,X
5833012,-28,X
6398762,-96,C
6691361,-91,C
5683645,-20,C
6176446,-53,C
6326126,-54,C
5706475,-28,0
6458261,-69,C
5823610,-83,C
6153040,-2,X
6584319,-21,C
6431891,-48,X
6103134,-88,C
6605763,-14,0
5474202,-24,0
6389240,-44,C
5567874,-25,C
6615264,-11,C
6591110,-18,0
6457377,-60,0
6358686,-64,C
6815285,-33,C
5047779,-12,0
6566333,-34,X
6542230,-57,0
6098050,-4,C
6481636,-6,0
6406486,-2,C
5097107,-22,C
5270389,-40,0
6117343,-47,X
5644884,-32,C
6189307,-23,C
6152023,-5,C
6008108,-12,C
6152845,-41,C
6363972,-4,0
6332553,-45,C
5478186,-53,C
6175972,-38,0
5568443,-68,0
6207493,-80,C
6100334,-22,C
5636142,-82,C
5003087,-10,X
5017721,-55,X
6607965,-38,C
6206470,0,X
6574320,-49,0
5946938,-47,X
6758482,-73,C
6009818,-73,0
6685777,-25,X
6088998,-83,X
5078972,-14,0
6734372,-28,C
6243489,-8,0
5036051,-36,C
5021330,-18,0
6362262,-23,X
6220960,-33,C
5730056,-36,C
6460369,-28,X
5359716,-44,C
5710949,-8,1
5518455,-77,C
5344927,-95,X
6362210,-16,C
6066859,-5,X
5352542,-56,C
5061612,-3,C
6781172,-22,C
6399345,-3,C
6074071,-61,0
5956823,-44,C
5028377,-36,C
6099053,-50,C
6744015,-77,0
5789961,-9,X
5812662,-11,C
6631970,-22,C
6684509,-49,C
6692330,-33,C
5752418,-76,0
6077722,-79,X
6318420,-61,C
6372416,-9,C
5901144,-87,0
5024904,-50,X
5156513,-77,C
5916643,-67,X
6012419,-10,0
5054139,-68,C
5137302,-25,X
5314330,-65,0
5229699,-46,X
5822373,-96,0
5636198,-2,C
5369322,-31,C
6170001,-27,X
5987856,-12,0
6123234,-14,C
5580185,-35,X
6733240,-44,C
5817182,-13,C
6548416,-9,C
6346611,-8,0
5054583,-30,0
5241766,-32,X
5668185,-29,0
5541235,0,C
6263656,-21,C
6523754,-4,C
5111105,-49,C
6435062,-37,X
6741868,-9,0
5917972,-10,C
6192111,-66,X
6030268,-6,0
5535550,-53,C
6415685,-2,C
5792129,-49,X
5963439,-20,C
5975776,-39,X
6047587,-6,0
5703822,-15,0
6162527,-59,C
6105848,-17,0
5067231,-37,C
5939034,-40,X
5603017,-45,0
5924592,-3,C
6168890,-41,0
5915573,-46,0
6162400,-2,0
6066000,-25,C
5436535,-57,X
5566701,-31,C
5642107,-5,C
6740690,-62,C
6333384,-32,C
6356826,-40,C
5805029,-27,X
6099749,-46,X
5819976,-11,C
5018176,-39,0
6232874,-59,0
6270454,-7,0
5829512,-11,0
6594897,-43,C
6621004,-17,C
5002499,-45,X
5196756,-82,C
5812996,-2,C
5156549,-55,C
6248926,-27,C
5952063,-25,C
6056818,-13,C
6612671,-9,C
6574811,-6,X
5513254,-10,C
5566620,-72,C
6390728,-75,X
5903610,-47,C
6594307,-37,C
5085787,0,0
5408014,-71,0
6828271,-29,C
6647062,-25,0
5120374,-83,0
6360060,-8,C
5815519,-58,X
6091360,-32,C
5923187,-7,C
6529001,-53,X
6013577,-78,1
6480548,-17,C
5196712,-8,0
5028722,-18,0
5769279,0,C
5120715,-28,C
6587319,-32,C
6299767,-18,C
5408300,-12,C
6339074,-7,C
5901350,-7,C
6370170,-40,X
6368848,-45,C
5360719,-23,C
6737093,-11,X
6176505,-44,C
6029737,-5,0
6254003,-1,X
5921366,-7,C
6015125,-57,X
6233749,-21,C
6351242,-8,C
5838225,-28,0
6625237,-18,C
5951346,-26,X
5854134,-33,C
5465430,-5,0
6380413,-47,C
6016685,-22,C
6120947,-69,C
5405641,-40,0
5898135,-1,C
6066902,-7,C
6123681,-68,C
5046255,-55,C
6449059,-9,C
6190401,-25,X
6078760,-4,X
5336933,-4,C
6697485,-16,C
6604650,-43,0
5832881,-22,C
5563108,-81,0
6332974,-33,C
6375266,-2,C
6391495,-70,0
6801222,-30,C
6071276,-91,0
6424863,-7,X
5513378,-31,C
6669750,-40,0
5978941,-3,C
6308701,-51,C
6531780,-64,C
6602030,-6,C
5797188,-18,0
5632685,-40,0
5004476,-67,X
5343987,-14,0
6215363,-50,X
6105494,-62,X
5403545,-15,C
5816967,-81,C
5819578,-4,0
5212425,-50,C
6733551,-17,C
5522124,-62,C
5264845,-11,C
5452330,-87,X
6085184,-48,X
6187018,-25,X
6817067,-29,C
6216493,-20,C
5166617,-89,0
6173169,-20,C
5948977,-8,C
5243787,-54,0
5678790,-44,C
6087601,-59,C
6535560,-43,X
5537200,0,C
6298652,-1,C
6249231,-81,X
6576012,-3,C
6562386,-14,C
5268660,-44,C
6143714,-76,C
5126609,-20,C
6478669,-52,C
6827510,-68,C
6526808,-20,0
5925186,-27,0
6830713,-80,C
5436289,-34,C
6012738,-79,C
5479108,-6,X
6634586,-23,C
6189437,-59,C
5548470,-4,C
6177930,-7,C
5888553,-10,C
5567164,-59,C
5819356,-23,C
6779663,-27,X
6601751,-39,C
6263309,-9,0
6186767,-44,0
5897628,-38,C
5829165,-28,C
5882785,-67,0
5898254,-37,C
6838049,-80,X
6793783,-29,C
5812594,-62,0
6543943,-39,C
6468964,-37,X
6691478,-25,C
6601740,-20,C
5739562,-8,0
6162098,-13,C
5398845,-6,C
